week,game_id,away,away_score,home,home_score,total
10,148,Arizona,27,LA Rams,17,44
10,149,LA Chargers,16,San Francisco,22,38
10,150,Washington,32,Philadelphia,21,53
11,151,Tennessee,27,Green Bay,17,44
11,152,Chicago,24,Atlanta,27,51
11,153,Carolina,3,Baltimore,13,16
11,154,Cleveland,23,Buffalo,31,54
11,155,Washington,23,Houston,10,33
11,156,Philadelphia,17,Indianapolis,16,33
11,157,NY Jets,3,New England,10,13
11,158,LA Rams,20,New Orleans,27,47
11,159,Detroit,31,NY Giants,18,49
11,160,Las Vegas,22,Denver,16,38
11,161,Dallas,40,Minnesota,3,43
11,162,Cincinnati,37,Pittsburgh,30,67
11,163,Kansas City,30,LA Chargers,27,57
11,164,San Francisco,38,Arizona,10,48
12,165,Buffalo,28,Detroit,25,53
12,166,NY Giants,20,Dallas,28,48
12,167,New England,26,Minnesota,33,59
12,168,Houston,15,Miami,30,45
12,169,Baltimore,27,Jacksonville,28,55
12,170,Denver,10,Carolina,23,33
12,171,Cincinnati,20,Tennessee,16,36
12,172,Atlanta,13,Washington,19,32
12,173,Chicago,10,NY Jets,31,41
12,174,Tampa Bay,17,Cleveland,23,40
12,175,Las Vegas,40,Seattle,34,74
12,176,LA Chargers,25,Arizona,24,49
12,177,LA Rams,10,Kansas City,26,36
12,178,New Orleans,0,San Francisco,13,13
12,179,Green Bay,33,Philadelphia,40,73
12,180,Pittsburgh,24,Indianapolis,17,41
13,181,Buffalo,24,New England,10,34
13,182,Denver,9,Baltimore,10,19
13,183,NY Jets,22,Minnesota,27,49
13,184,Tennessee,10,Philadelphia,35,45
13,185,Cleveland,27,Houston,14,41
13,186,Washington,20,NY Giants,20,40
13,187,Jacksonville,14,Detroit,40,54
13,188,Pittsburgh,19,Atlanta,16,35
13,189,Green Bay,28,Chicago,19,47
13,190,Miami,17,San Francisco,33,50
13,191,Seattle,27,LA Rams,23,50
13,192,Kansas City,24,Cincinnati,27,51
13,193,LA Chargers,20,Las Vegas,27,47
13,194,Indianapolis,19,Dallas,54,73
13,195,New Orleans,16,Tampa Bay,17,33
14,196,Las Vegas,16,LA Rams,17,33
14,197,Minnesota,23,Detroit,34,57
14,198,Philadelphia,48,NY Giants,22,70
14,199,NY Jets,12,Buffalo,20,32
14,200,Cleveland,10,Cincinnati,23,33
14,201,Houston,23,Dallas,27,50
14,202,Jacksonville,36,Tennessee,22,58
14,203,Baltimore,16,Pittsburgh,14,30
14,204,Kansas City,34,Denver,28,62
14,205,Carolina,30,Seattle,24,54
14,206,Tampa Bay,7,San Francisco,35,42
14,207,Miami,17,LA Chargers,23,40
14,208,New England,27,Arizona,13,40
15,209,San Francisco,21,Seattle,13,34
15,210,Indianapolis,33,Minnesota,36,69
15,211,Baltimore,3,Cleveland,13,16
15,212,Miami,29,Buffalo,32,61
15,213,Philadelphia,25,Chicago,20,45
15,214,Kansas City,30,Houston,24,54
15,215,Dallas,34,Jacksonville,40,74
15,216,Detroit,20,NY Jets,17,37
15,217,Atlanta,18,New Orleans,21,39
15,218,Pittsburgh,24,Carolina,16,40
15,219,Arizona,15,Denver,24,39
15,220,New England,24,Las Vegas,30,54
15,221,Cincinnati,34,Tampa Bay,23,57
15,222,Tennessee,17,LA Chargers,14,31
15,223,NY Giants,20,Washington,12,32
15,224,LA Rams,12,Green Bay,24,36
16,225,Jacksonville,19,NY Jets,3,22
16,226,Buffalo,35,Chicago,13,48
16,227,Seattle,10,Kansas City,24,34
16,228,Cincinnati,22,New England,18,40
16,229,Detroit,23,Carolina,37,60
16,230,NY Giants,24,Minnesota,27,51
16,231,Houston,19,Tennessee,14,33
16,232,New Orleans,17,Cleveland,10,27
16,233,Atlanta,9,Baltimore,17,26
16,234,Washington,20,San Francisco,37,57
16,235,Philadelphia,34,Dallas,40,74
16,236,Las Vegas,10,Pittsburgh,13,23
16,237,Green Bay,26,Miami,20,46
16,238,Denver,14,LA Rams,51,65
16,239,Tampa Bay,19,Arizona,16,35
16,240,LA Chargers,20,Indianapolis,3,23
17,241,Dallas,27,Tennessee,13,40
17,242,Denver,24,Kansas City,27,51
17,243,New Orleans,20,Philadelphia,10,30
17,244,Jacksonville,31,Houston,3,34
17,245,Indianapolis,10,NY Giants,38,48
17,246,Chicago,10,Detroit,41,51
17,247,Carolina,24,Tampa Bay,30,54
17,248,Miami,21,New England,23,44
17,249,Cleveland,24,Washington,10,34
17,250,Arizona,19,Atlanta,20,39
17,251,San Francisco,37,Las Vegas,34,71
17,252,NY Jets,6,Seattle,23,29
17,253,Minnesota,17,Green Bay,41,58
17,254,LA Rams,10,LA Chargers,31,41
17,255,Pittsburgh,16,Baltimore,13,29
17,256,Buffalo,3,Cincinnati,7,10
18,257,Kansas City,31,Las Vegas,13,44
18,258,Tennessee,16,Jacksonville,20,36
18,259,Tampa Bay,17,Atlanta,30,47
18,260,New England,23,Buffalo,35,58
18,261,Minnesota,29,Chicago,13,42
18,262,Baltimore,16,Cincinnati,27,43
18,263,Houston,32,Indianapolis,31,63
18,264,NY Jets,6,Miami,11,17
18,265,Carolina,10,New Orleans,7,17
18,266,Cleveland,14,Pittsburgh,28,42
18,267,LA Chargers,28,Denver,31,59
18,268,NY Giants,16,Philadelphia,22,38
18,269,Arizona,38,San Francisco,13,51
18,270,LA Rams,16,Seattle,19,35
18,271,Dallas,6,Washington,26,32
18,272,Detroit,20,Green Bay,16,36
